titre,titre_origine,score,genre,annee,duree,description,acteurs,public,pays
Wentworth,,8.6,"['Crime', 'Drama', 'Thriller']",2013–2021,45m,The confronting look into the lives of the inmates and prison staff of Wentworth Correctional Centre as they navigate the ups and downs of their lives in the prison system.,"['Kate Atkinson', 'Katrina Milosevic', 'Robbie Magasiva']",TV-MA,Australia
Fullmetal Alchemist,Original title: Hagane no renkinjutsushi,8.5,"['Animation', 'Action', 'Adventure']",2003–2004,24m,"When a failed alchemical ritual leaves brothers Edward and Alphonse Elric with severely damaged bodies, they begin searching for the one thing that can save them: the fabled philosopher's stone.","['Vic Mignogna', 'Aaron Dismuke', 'Romi Park']",TV-PG,Japan
Silicon Valley,,8.5,['Comedy'],2014–2019,28m,"Follows the struggle of Richard Hendricks, a Silicon Valley engineer trying to build his own company called Pied Piper.","['Thomas Middleditch', 'T.J. Miller', 'Josh Brener']",TV-MA,United States
Futurama,,8.5,"['Animation', 'Adventure', 'Comedy']",1999–2023,22m,"Philip J. Fry, a pizza delivery boy, is accidentally frozen in 1999 and thawed out on New Year's Eve 2999.","['Billy West', 'John DiMaggio', 'Katey Sagal']",TV-14,United States
Mr Inbetween,,8.6,"['Crime', 'Drama']",2018–2021,30m,"Ray Shoesmith is a father, ex-husband, boyfriend, brother and best friend, tough roles to juggle in the modern age. Especially when you're also a criminal for hire.","['Scott Ryan', 'Chika Yasumura', 'Justin Rosniak']",TV-MA,Australia
Twin Peaks,,8.5,"['Crime', 'Drama', 'Horror']",2017,1h,Picks up 25 years after the inhabitants of a quaint northwestern town are stunned when their homecoming queen is murdered.,"['Kyle MacLachlan', 'Sheryl Lee', 'Michael Horse']",TV-MA,United States
Skam,,8.6,"['Drama', 'Romance']",2015–2017,30m,"The story of young teenagers and pupils on Hartvig Nissens upper secondary school in Oslo, and their troubles, scandals and everyday life. Each season is told from a different person's point of view.","['Josefine Frida Pettersen', 'Iman Meskini', 'Ulrikke Falch']",Not Rated,Norway
Brass Eye,,8.6,['Comedy'],1997–2001,25m,"Controversal spoof of current affairs television, and the role of celebrity in the UK.","['Christopher Morris', 'Mark Heap', 'Kevin Eldon']",TV-MA,United Kingdom
North & South,,8.6,"['Drama', 'Romance']",2004,3h 55m,"North and South is a four part adaptation of Elizabeth Gaskell's love story of Margaret Hale, a middle class southerner who is forced to move to the northern town of Milton.","['Daniela Denby-Ashe', 'Richard Armitage', 'Tim Pigott-Smith']",TV-PG,United Kingdom
Westworld,,8.5,"['Drama', 'Mystery', 'Sci-Fi']",2016–2022,1h 2m,"At the intersection of the near future and the reimagined past, waits a world in which every human appetite can be indulged without consequence.","['Evan Rachel Wood', 'Jeffrey Wright', 'Ed Harris']",TV-MA,United States
Neon Genesis Evangelion,Original title: Shin seiki evangerion,8.5,"['Animation', 'Action', 'Drama']",1995–1996,24m,A teenage boy finds himself recruited as a member of an elite team of pilots by his father.,"['Megumi Ogata', 'Megumi Hayashibara', 'Kotono Mitsuishi']",TV-MA,Japan
Extraordinary Attorney Woo,Original title: I-sang-han byeon-ho-sa U-yeong-u,8.7,['Drama'],2022,1h 15m,"Due to her 164 I.Q., impressive memory and creative thought process, autistic 27-year-old lawyer Woo Young Woo graduated at the top of her class from a prestigious law school.","['Park Eun-bin', 'Kang Tae-oh', 'Kang Ki-young']",TV-14,South Korea
Trailer Park Boys,,8.6,"['Comedy', 'Crime']",2001–2018,30m,Three petty felons have a documentary made about their life in a trailer park.,"['John Paul Tremblay', 'Robb Wells', 'Mike Smith']",TV-MA,Canada
Sons of Anarchy,,8.6,"['Crime', 'Drama', 'Thriller']",2008–2014,45m,A biker struggles to balance being a father and being involved in an outlaw motorcycle club.,"['Charlie Hunnam', 'Katey Sagal', 'Mark Boone Junior']",TV-MA,United States
Detectorists,,8.6,['Comedy'],2014–2022,30m,"The lives of two eccentric metal detectorists, who spend their days plodding along ploughed tracks and open fields, hoping to disturb the tedium by unearthing the fortune of a lifetime.","['Mackenzie Crook', 'Toby Jones', 'Rachael Stirling']",TV-14,United Kingdom
